id,sku,name,category_slug,brand,reasons
311,PSU-CORSAIR-PS1,"Nguồn PSU Corsair Power-PS1 650W 80 Plus Gold",psu,Corsair,"Synthetic auto-generated model name"
312,PSU-MSI-PS2,"Nguồn PSU MSI Power-PS2 750W 80 Plus Gold",psu,MSI,"Synthetic auto-generated model name"
313,PSU-DEEPCOOL-PS3,"Nguồn PSU DeepCool Power-PS3 850W 80 Plus Gold",psu,DeepCool,"Synthetic auto-generated model name"
314,PSU-GIGABYTE-PS4,"Nguồn PSU Gigabyte Power-PS4 950W 80 Plus Gold",psu,GIGABYTE,"Synthetic auto-generated model name"
315,"PSU-COOLER MASTER-PS5","Nguồn PSU Cooler Master Power-PS5 550W 80 Plus Gold",psu,"Cooler Master","Synthetic auto-generated model name"
316,PSU-CORSAIR-PS6,"Nguồn PSU Corsair Power-PS6 650W 80 Plus Gold",psu,Corsair,"Synthetic auto-generated model name"
317,PSU-MSI-PS7,"Nguồn PSU MSI Power-PS7 750W 80 Plus Gold",psu,MSI,"Synthetic auto-generated model name"
318,PSU-DEEPCOOL-PS8,"Nguồn PSU DeepCool Power-PS8 850W 80 Plus Gold",psu,DeepCool,"Synthetic auto-generated model name"
319,PSU-GIGABYTE-PS9,"Nguồn PSU Gigabyte Power-PS9 950W 80 Plus Gold",psu,GIGABYTE,"Synthetic auto-generated model name"
320,"PSU-COOLER MASTER-PS10","Nguồn PSU Cooler Master Power-PS10 550W 80 Plus Gold",psu,"Cooler Master","Synthetic auto-generated model name"
321,PSU-CORSAIR-PS11,"Nguồn PSU Corsair Power-PS11 650W 80 Plus Gold",psu,Corsair,"Synthetic auto-generated model name"
322,PSU-MSI-PS12,"Nguồn PSU MSI Power-PS12 750W 80 Plus Gold",psu,MSI,"Synthetic auto-generated model name"
323,PSU-DEEPCOOL-PS13,"Nguồn PSU DeepCool Power-PS13 850W 80 Plus Gold",psu,DeepCool,"Synthetic auto-generated model name"
324,PSU-GIGABYTE-PS14,"Nguồn PSU Gigabyte Power-PS14 950W 80 Plus Gold",psu,GIGABYTE,"Synthetic auto-generated model name"
325,"PSU-COOLER MASTER-PS15","Nguồn PSU Cooler Master Power-PS15 550W 80 Plus Gold",psu,"Cooler Master","Synthetic auto-generated model name"
326,PSU-CORSAIR-PS16,"Nguồn PSU Corsair Power-PS16 650W 80 Plus Gold",psu,Corsair,"Synthetic auto-generated model name"
327,PSU-MSI-PS17,"Nguồn PSU MSI Power-PS17 750W 80 Plus Gold",psu,MSI,"Synthetic auto-generated model name"
328,PSU-DEEPCOOL-PS18,"Nguồn PSU DeepCool Power-PS18 850W 80 Plus Gold",psu,DeepCool,"Synthetic auto-generated model name"
329,PSU-GIGABYTE-PS19,"Nguồn PSU Gigabyte Power-PS19 950W 80 Plus Gold",psu,GIGABYTE,"Synthetic auto-generated model name"
330,"PSU-COOLER MASTER-PS20","Nguồn PSU Cooler Master Power-PS20 550W 80 Plus Gold",psu,"Cooler Master","Synthetic auto-generated model name"
331,PSU-CORSAIR-PS21,"Nguồn PSU Corsair Power-PS21 650W 80 Plus Gold",psu,Corsair,"Synthetic auto-generated model name"
332,PSU-MSI-PS22,"Nguồn PSU MSI Power-PS22 750W 80 Plus Gold",psu,MSI,"Synthetic auto-generated model name"
333,PSU-DEEPCOOL-PS23,"Nguồn PSU DeepCool Power-PS23 850W 80 Plus Gold",psu,DeepCool,"Synthetic auto-generated model name"
334,PSU-GIGABYTE-PS24,"Nguồn PSU Gigabyte Power-PS24 950W 80 Plus Gold",psu,GIGABYTE,"Synthetic auto-generated model name"
335,"PSU-COOLER MASTER-PS25","Nguồn PSU Cooler Master Power-PS25 550W 80 Plus Gold",psu,"Cooler Master","Synthetic auto-generated model name"
336,PSU-CORSAIR-PS26,"Nguồn PSU Corsair Power-PS26 650W 80 Plus Gold",psu,Corsair,"Synthetic auto-generated model name"
337,PSU-MSI-PS27,"Nguồn PSU MSI Power-PS27 750W 80 Plus Gold",psu,MSI,"Synthetic auto-generated model name"
338,PSU-DEEPCOOL-PS28,"Nguồn PSU DeepCool Power-PS28 850W 80 Plus Gold",psu,DeepCool,"Synthetic auto-generated model name"
339,PSU-GIGABYTE-PS29,"Nguồn PSU Gigabyte Power-PS29 950W 80 Plus Gold",psu,GIGABYTE,"Synthetic auto-generated model name"
340,"PSU-COOLER MASTER-PS30","Nguồn PSU Cooler Master Power-PS30 550W 80 Plus Gold",psu,"Cooler Master","Synthetic auto-generated model name"
341,PSU-CORSAIR-PS31,"Nguồn PSU Corsair Power-PS31 650W 80 Plus Gold",psu,Corsair,"Synthetic auto-generated model name"
